item,price
133. 海鲜豆腐煲 Seafood with Tofu in Clay Pot,16.95
134. 核桃带子 Walnut Scallop,16.95
135. 黑椒带子 Scallop with Black Pepper Sauce,16.95
136. 水煮海鲜 Poached Seafood in Spicy Broth,19.95
牛羊类 Beef/Lamb,header
137. 酸菜牛肉 Beef with Preserved Vegetable,15.95
138. 姜葱牛肉 Veef with Ginger & Scallion,15.95
139. 脆皮牛肉 Crispy Beef,13.95
140. 孜然牛肉 Beef with Cumin,15.95
141. 干锅牛肉 Gridddle Cooked Beef,16.95
142. 土豆牛腩煲 Potato with Braised Beef Brisket in Clay Pot,16.95
143. 茄子牛腩煲 Eggplant with Braised Beef Brisket in Clay Pot,16.95
144. 豆腐牛腩煲 Tofu with Braised Beef Brisket in Clay Pot,16.95
145. 孜然肥牛 Fatty Beef with Cumin,17.95
146. 干锅肥牛 Griddle Cooked Fatty Beef,17.95
147. 葱爆牛肚 Beef Tripe with Fried Scallions,16.95
148. 麻辣牛肚 Beef Tripe with Chili Sauce,16.95
149. 干锅牛肚 Griddle Cooked Beef Tripe,16.95
150. 酸菜牛肚 Beef Tripe with Preserved Vegetable,16.95
151. 孜然羊肉 Lamb with Cumin,16.95
152. 姜葱羊肉 Lamb with Ginger & Scallion,16.95
153. 水煮羊肉 Poached Sliced Lamb in Chili Broth,16.95
面类 Noodle,header
154. 麻辣牛肉面 Beef woth Noddle in Chili Broth,14.95
155. 麻辣热干面 Wu Han Spicy Dry Noodle with Sesame Paste,13.95
156. 红烧牛肉面 Braised Beef with Noddle in Brown Sauce,14.95
157. 番茄牛肉炒意面 Tomato Beef Sauteed with Spaghetti,14.95
158. 黑椒牛肉炒意面 Black Pepper Beef Sauteed with Spaghetti,14.95
